1, spict, Ada1-1, CG18130, Klp10A, mbl, srl, sktl, mrn, CG13300, CR41257, CG7546, CG32243, phyl, CG2837, CG3184
2, Aldh, ImpE2, mtt, hkb, ImpL3, CG31038, CG5656, croc, CG13101, fkh, CG8468, CG17119, CG12541, Hsp83, kni 
3, ind, CG34224, ths, sad, ac, gsb, ImpL2, pyr, Atx-1, pDsRed, SoxN, Dr, sca, Meltrin, sog 
4, tin, Act87E, twi, CG1673, sprt, CG14687, Mef2, Ilp4, CG14688, sna, CR45361, stumps, CG12177, Mes2, Nplp2
5, hbn, fd102C, CG14204, Optix, nrm, fj, eya, oc, Bili, yellow-e, amd, toy, CG3502, Gasp, Adgf-A
6, peb, zen2, dap, zen, C15, CG13653, ana, Alk, CG16886, CG43725, Z600, kay, Doc3, CG6753, CG42666
7, Pdp1, CG2930, DNaseII, ps, CG32053, CG18754, Gmap, CG7191, Ptx1, Fas2, fkh, mnd, MRE23, CG31431, a
8, klg, byn, ken, cad, disco, hb, dpn, CG31871, salm, Blimp-1, rib, D, Abd-B, CG42762, apt 
9, gcm, ham, ttk, CrebA, shep, RhoL, fok, knrl, kni, zfh1, CG33099, CR44683, srp, btd, NetB
10, CR45185, grn, so, CR43302, Oaz, lov, SP2353, toy, Hmx, tll, oc, CG15236, CG42342, Ance, Dll 
11, rau, Abd-B, grn, CR43617, cic, run, ken, CG32483, EcR, CG34232, veil, hb, CR43279, CG11966, CG10176
